week_ending,orig_forecast,curr_forecast,weekly_crush,to_date_crush,to_date_crush_pc,weekly_ccs,to_date_ccs
2019-06-02,31659480,31659480,16139,16139,0.001,12.48,12.48
2019-06-09,31659480,31659480,163772,179911,0.006,11.93,11.98
2019-06-16,31659480,31659480,488582,668493,0.021,12.28,12.20
2019-06-23,31659480,31585480,815741,1484233,0.047,12.42,12.33
2019-06-30,31659480,31585480,967603,2451836,0.079,12.73,12.48
2019-07-07,31659480,31634480,949998,3401834,0.109,12.67,12.53
2019-07-14,31659480,31634480,530401,3932235,0.126,12.69,12.56
2019-07-21,31659480,31622480,1457623,5389.857,0.17300000000000001,12.93,12.65
2019-07-28,31659480,31622480,1473146,6863004,0.22,13.14,12.75
2019-08-04,31659480,31283480,1417860,8280864,0.266,13.48,12.85
2019-08-11,31659480,31163480,1430431,9711295,0.312,13.67,12.96
